year,venue,type,award,authors,title,journal,date,link
2026,DAC,conference,,"Zhantong Zhu, Zhuolin Li, Kangbo Bai, Hongou Li, Tianyu Jia*",AgenticDSE: A Multi-Agent Design Space Exploration Framework with Multi-Phase Bayesian Optimization for Chiplet Accelerators,IEEE Design Automation Conference (DAC),Jul. 2026,
2026,DAC,conference,,"Chenhao Xue, Yukun Wang, An Guo, Yuhui Shi, Jinwei Zhou, Xiping Dong, Yihan Yin, Yuanpeng Zhang, Tianyu Jia, Wei Gao, Qiang Wu, Xin Si, Jun Yang and Guangyu Sun",AccelCIM: Systematic Dataflow Exploration for SRAM Compute-in-Memory Accelerator,IEEE Design Automation Conference (DAC),Jul. 2026,
2026,CICC,conference,,"Qinzhe Zhi, Wenjie Ren, Siyuan He, Mingxuan Li, Yandong He, Le Ye, Tianyu Jia*",A 22nm 15.2μJ/Inference Speech Enhancement Accelerator with Contextual-Aware KV-Cache Management and Reconfigurable D-CIM Engine,IEEE Custom Integrated Circuit Conference (CICC),Apr. 2026,
2026,ISSCC,conference,,"Jiaqi Zhou, Hongou Li, Keyao Jiang, Yiyang Sun, Tianyu Jia*",31.4 VARSA: A Visual Autoregressive Generation Accelerator Using Performance-Scalable Multi-Precision PE-LUT and Grid-Similarity Attention Compression,IEEE International Solid-State Circuits Conference (ISSCC),Feb. 2026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:pyW8ca7W8N0C
2026,ISSCC,conference,,"Wenjie Ren, Mingxuan Li, Zhenghao Jin, Yifan Ding, Ruohang Xu, Xiangjun Ye, Yufei Ma, Tianyu Jia*, Le Ye*",18.2 A 22nm 1.87ms/Frame Streaming Multi-Speaker ASR Accelerator Leveraging Contextual-Aware Redundancy Skipping with 2D-Writable Microscaling Compute-in-Memory and Similarity-Aware TCAM Design,IEEE International Solid-State Circuits Conference (ISSCC),Feb. 2026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:a0OBvERweLwC
2026,DATE,conference,,"Hongou Li, Mingxuan Li, Zhantong Zhu, Tianyu Jia*",ACES: A Chiplet Architecture with Resource Partition and Dynamic Scheduling for Agentic LLMs,"Design, Automation and Test in Europe Conference (DATE)",Apr. 2026,
2026,DATE,conference,,"Kangbo Bai, Zhantong Zhu, Yifan Ding, Tianyu Jia*",ChipLight: Cross-Layer Optimization of Chiplet Design with Optical Interconnects for LLM Training,"Design, Automation and Test in Europe Conference (DATE)",Apr. 2026,
2026,ASPLOS,conference,,"Tong Xie, Yijiahao Qi, Jinqi Wen, Zishen Wan, Yanchi Dong, Zihao Wang, Shaofei Cai, Yitao Liang, Tianyu Jia, Yuan Wang, Runsheng Wang, Meng Li",CREATE: Cross-Layer Resilience Characterization and Optimization for Efficient yet Reliable Embodied AI Systems,ACM International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),Mar. 2026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:4OULZ7Gr8RgC
2026,ASP-DAC,conference,,"Zhantong Zhu, Kangbo Bai, Tianyu Jia*",Chat-A²: An LLM-aided Design Space Exploration Framework for High-Performance CPU Design,31st Asia and South Pacific Design Automation Conference (ASP-DAC),Jan. 2026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:f2IySw72cVMC
2026,JSSC,journal,,"Yanchi Dong, Xueping Liu, Kangbo Bai, Guoxiang Li, Meng Wu, Yiqi Jing, Yihan Zhang, Pixian Zhan, Yadong Zhang, Yufei Ma, Ru Huang, Tianyu Jia*, Le Ye*",A Heterogeneous TinyML SoC with Systematic Minimum Energy Searching and Management for Keyword Spotting,IEEE Journal of Solid-State Circuits (JSSC),2026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:u_35RYKgDlwC
2026,JSSC,journal,,"Yiqi Jing, Jiaqi Zhou, Yiyang Sun, Meng Wu, Yufei Ma, Tianyu Jia*, Le Ye*",NeRF-Learner: A NeRF-SLAM Accelerator with Unified Inference and Training Compute-in-Memory for Simultaneous Neural Rendering and SLAM,IEEE Journal of Solid-State Circuits (JSSC),2026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:fPk4N6BV_jEC
2026,TVLSI,journal,,"Yongchao Xu, Mingxuan Li, Ziying Zhuo, Qinzhe Zhi, Tianyu Jia, Meiqi Wang",DayPQ: Dynamic Layer-wise Pruning and Quantization for LLM Inference Acceleration,IEEE Transactions on Very Large Scale Integration Systems (TVLSI),2026,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:D03iK_w7-QYC
